CPE,PC1,PC2,cluster
PT0002000032936306KX,2.8039312321858967,-1.677769696400064,6
PT0002000032942455NH,4.2453135943958635,-0.27094548420130715,4
PT0002000032966446CC,2.8968227346769884,0.32325565286666474,4
PT0002000032968749YT,1.2864794727118545,-1.6292294320108345,4
PT0002000032969229AC,1.1915415867227894,-1.6076196698527743,4
PT0002000032976997LZ,0.2270095663053719,-1.3522078767333,1
PT0002000032990792KD,1.434486099300641,-3.5233982472245766,0
PT0002000032993611ME,0.7470693367027067,-0.9474186966034056,4
PT0002000033016394FN,1.097808637561985,-0.28585468012899395,4
PT0002000033039837ZH,1.1668659263645298,-1.5841138814656295,4
PT0002000033074862LZ,-1.7490843762428958,0.26306247266761323,8
PT0002000033085062AW,4.557062834719619,-3.818944682865443,0
PT0002000033094187PL,-0.8591183019982965,0.27532363724994235,1
PT0002000033171958DG,1.1821395789088243,-1.7250062246728948,4
PT0002000033186037TF,-1.947790026681979,0.1970602869444749,1
PT0002000033254603ZX,-1.1844067938827132,-0.08738004562753025,1
PT0002000053093191SV,-0.6136212922661765,0.056499038189921406,1
PT0002000065256275YB,4.215011083665953,6.279166237694846,5
PT0002000065523872AA,1.4450155414913757,1.7121541717897306,2
PT0002000066469574LZ,1.034707148625626,-0.9045640872390357,4
PT0002000068856655YV,-0.6817974462641719,0.9831294377642715,1
PT0002000068856781NM,-3.458631737902999,0.4470987287081164,3
PT0002000068856872QG,2.3407145731509025,4.378847216125569,2
PT0002000068856906VS,-1.5107420150924573,0.7727483549189795,8
PT0002000068856952LS,1.048121833594447,1.3568738159897726,2
PT0002000068857099AR,-0.29355825283997067,1.4527551025919496,2
PT0002000068857897ZV,-2.2509038890861732,-0.2747584427719364,8
PT0002000068857909SY,-0.11964717122141029,1.5025305354570184,2
PT0002000068859187RL,-2.6420991241555534,-1.7757186975335164,1
PT0002000068859325FL,-4.364067711610167,0.4406003515027219,3
PT0002000068859382XF,-2.635296919385257,-0.2911592820799144,8
PT0002000068859393XH,-3.2336135032818127,0.5424330205099979,3
PT0002000068859597LS,-4.015931715705408,-0.9141381951791326,3
PT0002000069698702RB,1.020285091980215,-0.13609826364885566,4
PT0002000069803182JW,3.8517389004279923,-1.9152583475029072,6
PT0002000071896778MT,-1.4420109835988517,-1.4606555422354894,1
PT0002000073231742VK,-1.720893488718849,0.4435735846049073,8
PT0002000073481266XH,-1.5358833881940115,0.43516071209485735,1
PT0002000073598156DE,1.469033331630636,-0.31517531167999563,4
PT0002000073717386HC,-1.0096386142402916,1.066231030932424,2
PT0002000075637532JB,-1.1784797433457679,-0.20063116638471182,1
PT0002000077394934QY,-2.5745339770036626,-0.198758382799341,8
PT0002000077647404EM,0.571233435579238,1.9210827820500798,2
PT0002000078207354XC,-0.42519746163365546,1.0869073061544603,2
PT0002000078233981HJ,-0.49717976790277085,2.0735023199699283,2
PT0002000078294957RQ,-1.4107229145093907,0.10113170593257757,1
PT0002000079901964CJ,0.11936382681855191,-2.2358854407964674,9
PT0002000081344542CP,-0.3988374031718146,1.9046455511762888,2
PT0002000081997398TD,-3.007392842860815,0.3134438260769096,8
PT0002000082549706RH,-2.2797240457478973,-1.439187786091589,8
PT0002000082592498EF,2.2841230042251395,-0.9840933113661716,4
PT0002000084414998AX,1.8712016972018424,-0.0162339414963155,4
PT0002000085555547GN,1.3456381230203167,-0.681775208195847,4
PT0002000085641795MX,2.8331971636763327,-1.6055656367133222,4
PT0002000089069203YG,0.018238046172911016,-0.6484771451931144,1
PT0002000100113293JT,-4.698232177169958,-1.2159390091048168,3
PT0002000100742616GC,0.4372747059622488,-3.315925036616629,0
PT0002000101964938LF,-0.40698311475535764,0.014193233364948356,1
PT0002000102936404ME,-0.9627919714036548,1.1234100806962506,8
PT0002000103647515BL,-0.16203885941561352,2.2838512102895208,2
PT0002000105483259QH,1.5791883293354207,6.083533951007655,7
PT0002000106237165CF,1.453953646879371,-0.4666710865575721,4
PT0002000107046231FW,-1.0516873301893035,0.4015446935256836,1
PT0002000107172384HT,-0.5047692833559652,1.169997877074053,8
PT0002000107332489XW,1.5091416963376658,0.6929811539577793,4
PT0002000108315818YN,3.9047327249868005,0.2112854335247343,4
PT0002000109837807PE,-0.680968560628886,1.3118919990225169,2
PT0002000109942242HZ,2.6369921258573865,0.29975396460009324,4
PT0002000110090564GD,0.0004319012628505552,0.8510533681227772,2
PT0002000110607652SB,-0.717405869053027,0.15678623906598252,1
PT0002000112026362NN,0.9861281670188637,2.5471524071329186,2
PT0002000112171317NK,-0.03927365770420221,-0.047929728115302946,9
PT0002000112989585PH,0.38095573759308066,-1.83069043189097,4
PT0002000115031201VQ,-1.2620382301480777,-0.009890673051628995,1
PT0002000115673389QK,-2.32132771068112,-0.7416729872370362,1
PT0002000115673471CB,-3.041499709429201,-1.7581423179428732,1
PT0002000115700602GW,-2.072433087208807,-0.20651452918887783,1
PT0002000117822355RM,1.6873830971636596,-0.13426043989901493,4
PT0002000119303492KB,-1.4816598770805525,0.17995474339952902,1
PT0002000120237616VJ,-1.0365014883572963,-0.24918861822903995,8
PT0002000120320157HF,-0.8369366322610937,1.5385332768561546,8
PT0002000123648159KR,-0.8743599965794561,-0.042458911597576955,1
PT0002000123801456QA,1.4709407463569188,-0.10577547116141081,4
PT0002000125379984SH,-0.14218546731700854,0.7900467887809521,2
PT0002000131605602FL,3.3978839176804745,-2.0365549726304595,6
PT0002000133505542CK,-1.6972142011454352,-0.8701079045634613,1
PT0002000133685986TF,0.48893545357630086,-1.7861109005644753,9
PT0002000201936109ME,4.793016480599643,-0.6593314753400109,0
